timestamp,rank,title,link
2026-04-27 01:49:02 UTC,1,UK's biggest ever environmental pollution claim reaches High Court,https://www.bbc.co.uk/news/articles/cqxl5rjw58po
2026-04-27 01:49:02 UTC,2,Arson arrest after fire at packed-out LGBT+ club,https://www.bbc.co.uk/news/articles/c14548m75vlo
2026-04-27 01:49:02 UTC,3,Suspected gunman at Washington press dinner identified as 31-year-old Californian,https://www.bbc.co.uk/news/articles/cr717nglye0o
2026-04-27 01:49:02 UTC,4,Councillor apologises for telling call handler to speak English,https://www.bbc.co.uk/news/articles/c5y9y679409o
2026-04-27 01:49:02 UTC,5,"Farmer refuses to budge for 2,000 new houses",https://www.bbc.co.uk/news/articles/cpwjwr890gpo
2026-04-27 01:49:02 UTC,6,'It lit a fire in me' - the barrister who was told she'd never amount to much,https://www.bbc.co.uk/news/articles/c05d3gqvvv1o
2026-04-27 01:49:02 UTC,7,"Trump and officials 'likely' targets of press dinner shooting suspect, authorities believe",https://www.bbc.co.uk/news/articles/c2d8dg57rzdo
2026-04-27 01:49:02 UTC,8,"King's US visit will go ahead as planned, Buckingham Palace says",https://www.bbc.co.uk/news/articles/cz0e0rn179eo
2026-04-27 01:49:02 UTC,9,Car bomb explosion at police station treated as attempted murder,https://www.bbc.co.uk/news/articles/cp846668401o
2026-04-27 01:49:02 UTC,10,The Chinese sports brand taking on Nike and Adidas,https://www.bbc.co.uk/news/articles/c87r2d850q4o
