timestamp,rank,title,link
2026-05-13 02:06:43 UTC,1,Israel qualifies but Boy George is out of Eurovision,https://www.bbc.co.uk/news/articles/cz92klwqz87o
2026-05-13 02:06:43 UTC,2,"Jason Collins, NBA's first openly gay player, dies aged 47",https://www.bbc.co.uk/news/articles/clyp8rdldk1o
2026-05-13 02:06:43 UTC,3,'Starmer and Streeting set for showdown' and 'Crisis? What crisis?',https://www.bbc.co.uk/news/articles/cqjpqxlgg50o
2026-05-13 02:06:43 UTC,4,Daily pill to help keep weight off after stopping obesity jabs,https://www.bbc.co.uk/news/articles/cwy2e9wlvjxo
2026-05-13 02:06:43 UTC,5,Starmer to meet Streeting as leadership crisis divides Labour,https://www.bbc.co.uk/news/articles/cx21jkmxd42o
2026-05-13 02:06:43 UTC,6,'Huge moment' for Catherine as she makes first overseas trip since cancer,https://www.bbc.co.uk/news/articles/cx21nlwrd49o
2026-05-13 02:06:43 UTC,7,TV chef questioned on suspicion of sexual assault,https://www.bbc.co.uk/news/articles/cwy2rkd4l7go
2026-05-13 02:06:43 UTC,8,The potential challengers to Keir Starmer,https://www.bbc.co.uk/news/articles/c3e2n7xn14xo
2026-05-13 02:06:43 UTC,9,Ten more people to be flown to UK for hantavirus monitoring,https://www.bbc.co.uk/news/articles/cvgz87npjq1o
2026-05-13 02:06:43 UTC,10,"A decade on, Trump returns to a stronger and more assertive China",https://www.bbc.co.uk/news/articles/cm2py6l78dxo
