timestamp,rank,title,link
2025-07-15 00:59:00 UTC,1,John Torode says allegation he used racist language upheld in MasterChef report,https://www.bbc.co.uk/news/articles/c8d68r07qq0o
2025-07-15 00:59:00 UTC,2,Nurse on first day among four dead in plane crash,https://www.bbc.co.uk/news/articles/cz9k2g9j8vno
2025-07-15 00:59:00 UTC,3,'Killer aristocrat' and Trump's 'warning to Putin',https://www.bbc.co.uk/news/articles/c0m82p0rwl2o
2025-07-15 00:59:00 UTC,4,First Harry Potter image released as production begins,https://www.bbc.co.uk/news/articles/cx2013yv182o
2025-07-15 00:59:00 UTC,5,Trump threatens Russia with tariffs while unveiling Ukraine weapons plan,https://www.bbc.co.uk/news/articles/czdv20v9lp1o
2025-07-15 00:59:00 UTC,6,Knightsbridge murder possibly a 'targeted attack',https://www.bbc.co.uk/news/articles/cev0p2lvd27o
2025-07-15 00:59:00 UTC,7,Faroes-style tunnels could 'transform' fortunes for Shetland isles,https://www.bbc.co.uk/news/articles/cvg7jw27w1do
2025-07-15 00:59:00 UTC,8,Marten and Gordon guilty of gross negligence manslaughter of their baby,https://www.bbc.co.uk/news/articles/cjelz43ggp3o
2025-07-15 00:59:00 UTC,9,Trump weapons pledge marks major step forward for Ukraine,https://www.bbc.co.uk/news/articles/cy4y2rv41pyo
2025-07-15 00:59:00 UTC,10,More of England likely to be declared in drought,https://www.bbc.co.uk/news/articles/cx201001n79o
