timestamp,position,title,link
2025-07-12 00:58:21 UTC,1,"Fuel switches cut off before Air India crash that killed 260, preliminary report says",https://www.bbc.co.uk/news/live/cx20p2x9093t
2025-07-12 00:58:21 UTC,2,"BBC correspondent explains the role of fuel switches. Video, 00:01:50BBC correspondent explains the role of fuel switches",https://www.bbc.co.uk/news/videos/cx2vrdd5xkeo
2025-07-12 00:58:21 UTC,3,Millions face hosepipe bans as UK heatwave reaches 34.7C,https://www.bbc.co.uk/news/articles/crmv8x74ky9o
2025-07-12 00:58:21 UTC,4,Faisal Islam: We are heading for significant tax rises,https://www.bbc.co.uk/news/articles/c9dgn647nplo
2025-07-12 00:58:21 UTC,5,BBC faces dilemma over new series of MasterChef,https://www.bbc.co.uk/news/articles/cm2mx9x5yrno
2025-07-12 00:58:21 UTC,6,Trump surveys damage in Texas as search continues for 160 missing,https://www.bbc.co.uk/news/articles/cr5vlp0pmdzo
2025-07-12 00:58:21 UTC,7,"Watch: Russians tell BBC how they think Ukraine war will end. Video, 00:01:22Watch: Russians tell BBC how they think Ukraine war will end",https://www.bbc.co.uk/news/videos/c1wp55wqq0lo
2025-07-12 00:58:21 UTC,8,Liverpool to retire number 20 in honour of Jota,https://www.bbc.co.uk/sport/football/articles/cpqnwpxle79o
2025-07-12 00:58:21 UTC,9,Ruthless Sinner beats Djokovic at Wimbledon to set up Alcaraz final,https://www.bbc.co.uk/sport/tennis/articles/ckg52kr13ggo
2025-07-12 00:58:21 UTC,10,"US has resumed military supplies to Ukraine, Zelensky says",https://www.bbc.co.uk/news/articles/crl04200dp4o
2025-07-12 02:52:51 UTC,1,"Fuel switches cut off before Air India crash that killed 260, preliminary report says",https://www.bbc.co.uk/news/live/cx20p2x9093t
2025-07-12 02:52:51 UTC,2,"Watch: Role of plane fuel switches explained. Video, 00:01:50Watch: Role of plane fuel switches explained",https://www.bbc.co.uk/news/videos/cx2vrdd5xkeo
2025-07-12 02:52:51 UTC,3,Millions face hosepipe bans as UK heatwave reaches 34.7C,https://www.bbc.co.uk/news/articles/crmv8x74ky9o
2025-07-12 02:52:51 UTC,4,Faisal Islam: We are heading for significant tax rises,https://www.bbc.co.uk/news/articles/c9dgn647nplo
2025-07-12 02:52:51 UTC,5,BBC faces dilemma over new series of MasterChef,https://www.bbc.co.uk/news/articles/cm2mx9x5yrno
2025-07-12 02:52:51 UTC,6,'They were just kids': Mother mourns sons killed in Israeli strike while waiting for aid,https://www.bbc.co.uk/news/articles/cy9xgrrq54go
2025-07-12 02:52:51 UTC,7,Alcaraz expects to be 'pushed to limit' by Sinner at Wimbledon final,https://www.bbc.co.uk/sport/tennis/articles/cy8gl12d7lxo
2025-07-12 02:52:51 UTC,8,Trump surveys damage in Texas as search continues for 160 missing,https://www.bbc.co.uk/news/articles/cr5vlp0pmdzo
2025-07-12 02:52:51 UTC,9,Liverpool to retire number 20 in honour of Jota,https://www.bbc.co.uk/sport/football/articles/cpqnwpxle79o
2025-07-12 02:52:51 UTC,10,"US has resumed military supplies to Ukraine, Zelensky says",https://www.bbc.co.uk/news/articles/crl04200dp4o
2025-07-12 03:49:37 UTC,1,"Fuel switches cut off before Air India crash that killed 260, preliminary report says",https://www.bbc.co.uk/news/live/cx20p2x9093t
2025-07-12 03:49:37 UTC,2,"Watch: Role of plane fuel switches explained. Video, 00:01:50Watch: Role of plane fuel switches explained",https://www.bbc.co.uk/news/videos/cx2vrdd5xkeo
2025-07-12 03:49:37 UTC,3,Heatwave spreads to Scotland and Northern Ireland,https://www.bbc.co.uk/news/articles/c5y2jd5yye9o
2025-07-12 03:49:37 UTC,4,BBC faces dilemma over new series of MasterChef,https://www.bbc.co.uk/news/articles/cm2mx9x5yrno
2025-07-12 03:49:37 UTC,5,'They were just kids': Mother mourns sons killed in Israeli strike while waiting for aid,https://www.bbc.co.uk/news/articles/cy9xgrrq54go
2025-07-12 03:49:37 UTC,6,Alcaraz expects to be 'pushed to limit' by Sinner at Wimbledon final,https://www.bbc.co.uk/sport/tennis/articles/cy8gl12d7lxo
2025-07-12 03:49:37 UTC,7,Faisal Islam: We are heading for significant tax rises,https://www.bbc.co.uk/news/articles/c9dgn647nplo
2025-07-12 03:49:37 UTC,8,Trump surveys damage in Texas as search continues for 160 missing,https://www.bbc.co.uk/news/articles/cr5vlp0pmdzo
2025-07-12 03:49:37 UTC,9,Liverpool to retire number 20 in honour of Jota,https://www.bbc.co.uk/sport/football/articles/cpqnwpxle79o
2025-07-12 03:49:37 UTC,10,"US has resumed military supplies to Ukraine, Zelensky says",https://www.bbc.co.uk/news/articles/crl04200dp4o
2025-07-12 04:23:25 UTC,1,"Fuel switches cut off before Air India crash that killed 260, preliminary report says",https://www.bbc.co.uk/news/live/cx20p2x9093t
2025-07-12 04:23:25 UTC,2,"Watch: Role of plane fuel switches explained. Video, 00:01:50Watch: Role of plane fuel switches explained",https://www.bbc.co.uk/news/videos/cx2vrdd5xkeo
2025-07-12 04:23:25 UTC,3,Heatwave spreads to Scotland and Northern Ireland,https://www.bbc.co.uk/news/articles/c5y2jd5yye9o
2025-07-12 04:23:25 UTC,4,BBC faces dilemma over new series of MasterChef,https://www.bbc.co.uk/news/articles/cm2mx9x5yrno
2025-07-12 04:23:25 UTC,5,'They were just kids': Mother mourns sons killed in Israeli strike while waiting for aid,https://www.bbc.co.uk/news/articles/cy9xgrrq54go
2025-07-12 04:23:25 UTC,6,Alcaraz expects to be 'pushed to limit' by Sinner at Wimbledon final,https://www.bbc.co.uk/sport/tennis/articles/cy8gl12d7lxo
2025-07-12 04:23:25 UTC,7,Faisal Islam: We are heading for significant tax rises,https://www.bbc.co.uk/news/articles/c9dgn647nplo
2025-07-12 04:23:25 UTC,8,Trump surveys damage in Texas as search continues for 160 missing,https://www.bbc.co.uk/news/articles/cr5vlp0pmdzo
2025-07-12 04:23:25 UTC,9,Liverpool to retire number 20 in honour of Jota,https://www.bbc.co.uk/sport/football/articles/cpqnwpxle79o
2025-07-12 04:23:25 UTC,10,"US has resumed military supplies to Ukraine, Zelensky says",https://www.bbc.co.uk/news/articles/crl04200dp4o
2025-07-12 05:12:20 UTC,1,"Fuel switches cut off before Air India crash that killed 260, preliminary report says",https://www.bbc.co.uk/news/live/cx20p2x9093t
2025-07-12 05:12:20 UTC,2,"Watch: Role of plane fuel switches explained. Video, 00:01:50Watch: Role of plane fuel switches explained",https://www.bbc.co.uk/news/videos/cx2vrdd5xkeo
2025-07-12 05:12:20 UTC,3,Heatwave spreads to Scotland and Northern Ireland,https://www.bbc.co.uk/news/articles/c5y2jd5yye9o
2025-07-12 05:12:20 UTC,4,BBC faces dilemma over new series of MasterChef,https://www.bbc.co.uk/news/articles/cm2mx9x5yrno
2025-07-12 05:12:20 UTC,5,'They were just kids': Mother mourns sons killed in Israeli strike while waiting for aid,https://www.bbc.co.uk/news/articles/cy9xgrrq54go
2025-07-12 05:12:20 UTC,6,Alcaraz expects to be 'pushed to limit' by Sinner at Wimbledon final,https://www.bbc.co.uk/sport/tennis/articles/cy8gl12d7lxo
2025-07-12 05:12:20 UTC,7,Faisal Islam: We are heading for significant tax rises,https://www.bbc.co.uk/news/articles/c9dgn647nplo
2025-07-12 05:12:20 UTC,8,"Gaza ceasefire talks on verge of collapse, Palestinian officials say",https://www.bbc.co.uk/news/articles/cqjq9p87vdvo
2025-07-12 05:12:20 UTC,9,Trump surveys damage in Texas as search continues for 160 missing,https://www.bbc.co.uk/news/articles/cr5vlp0pmdzo
2025-07-12 05:12:20 UTC,10,GPs to refer patients for gym classes and career coaching to reduce sick notes,https://www.bbc.co.uk/news/articles/cwyx880d1w8o
2025-07-12 06:15:23 UTC,1,"Fuel switches cut off before Air India crash that killed 260, preliminary report says",https://www.bbc.co.uk/news/live/cx20p2x9093t
2025-07-12 06:15:23 UTC,2,Why cockpit audio deepens the mystery of Air India crash,https://www.bbc.co.uk/news/articles/cx2gy78gpnqo
2025-07-12 06:15:23 UTC,3,Heatwave set to peak as temperatures soar over 30C,https://www.bbc.co.uk/news/articles/c5y2jd5yye9o
2025-07-12 06:15:23 UTC,4,BBC faces dilemma over new series of MasterChef,https://www.bbc.co.uk/news/articles/cm2mx9x5yrno
2025-07-12 06:15:23 UTC,5,'They were just kids': Mother mourns sons killed in Israeli strike while waiting for aid,https://www.bbc.co.uk/news/articles/cy9xgrrq54go
2025-07-12 06:15:23 UTC,6,Alcaraz expects to be 'pushed to limit' by Sinner at Wimbledon final,https://www.bbc.co.uk/sport/tennis/articles/cy8gl12d7lxo
2025-07-12 06:15:23 UTC,7,Faisal Islam: We are heading for significant tax rises,https://www.bbc.co.uk/news/articles/c9dgn647nplo
2025-07-12 06:15:23 UTC,8,"Gaza ceasefire talks on verge of collapse, Palestinian officials say",https://www.bbc.co.uk/news/articles/cqjq9p87vdvo
2025-07-12 06:15:23 UTC,9,Al Fayed-owned Mayfair penthouse has 'leaky roofs and noisy lifts',https://www.bbc.co.uk/news/articles/c0m8pew4331o
2025-07-12 06:15:23 UTC,10,Trump surveys damage in Texas as search continues for 160 missing,https://www.bbc.co.uk/news/articles/cr5vlp0pmdzo
2025-07-12 07:11:20 UTC,1,"Fuel switches cut off before Air India crash that killed 260, preliminary report says",https://www.bbc.co.uk/news/live/cx20p2x9093t
2025-07-12 07:11:20 UTC,2,Why cockpit audio deepens the mystery of Air India crash,https://www.bbc.co.uk/news/articles/cx2gy78gpnqo
2025-07-12 07:11:20 UTC,3,Heatwave set to peak with 34C temperatures predicted,https://www.bbc.co.uk/news/articles/c5y2jd5yye9o
2025-07-12 07:11:20 UTC,4,BBC faces dilemma over new series of MasterChef,https://www.bbc.co.uk/news/articles/cm2mx9x5yrno
2025-07-12 07:11:20 UTC,5,Men charged after women die following care home crash,https://www.bbc.co.uk/news/articles/cql0gl9e1pwo
2025-07-12 07:11:20 UTC,6,'They were just kids': Mother mourns sons killed in Israeli strike while waiting for aid,https://www.bbc.co.uk/news/articles/cy9xgrrq54go
2025-07-12 07:11:20 UTC,7,Faisal Islam: We are heading for significant tax rises,https://www.bbc.co.uk/news/articles/c9dgn647nplo
2025-07-12 07:11:20 UTC,8,"Fuel switches cut off before Air India crash that killed 260, preliminary report says",https://www.bbc.co.uk/news/live/cx20p2x9093t
2025-07-12 07:11:20 UTC,9,Why cockpit audio deepens the mystery of Air India crash,https://www.bbc.co.uk/news/articles/cx2gy78gpnqo
2025-07-12 07:11:20 UTC,10,Heatwave set to peak with 34C temperatures predicted,https://www.bbc.co.uk/news/articles/c5y2jd5yye9o
2025-07-12 08:13:39 UTC,1,"Fuel switches cut off before Air India crash that killed 260, preliminary report says",https://www.bbc.co.uk/news/live/cx20p2x9093t
2025-07-12 08:13:39 UTC,2,Why cockpit audio deepens the mystery of Air India crash,https://www.bbc.co.uk/news/articles/cx2gy78gpnqo
2025-07-12 08:13:39 UTC,3,Heatwave set to peak with 34C temperatures possible,https://www.bbc.co.uk/news/articles/c5y2jd5yye9o
2025-07-12 08:13:39 UTC,4,BBC faces dilemma over new series of MasterChef,https://www.bbc.co.uk/news/articles/cm2mx9x5yrno
2025-07-12 08:13:39 UTC,5,Men charged after women die following care home crash,https://www.bbc.co.uk/news/articles/cql0gl9e1pwo
2025-07-12 08:13:39 UTC,6,'They were just kids': Mother mourns sons killed in Israeli strike while waiting for aid,https://www.bbc.co.uk/news/articles/cy9xgrrq54go
2025-07-12 08:13:39 UTC,7,Faisal Islam: We are heading for significant tax rises,https://www.bbc.co.uk/news/articles/c9dgn647nplo
2025-07-12 08:13:39 UTC,8,"Fuel switches cut off before Air India crash that killed 260, preliminary report says",https://www.bbc.co.uk/news/live/cx20p2x9093t
2025-07-12 08:13:39 UTC,9,Why cockpit audio deepens the mystery of Air India crash,https://www.bbc.co.uk/news/articles/cx2gy78gpnqo
2025-07-12 08:13:39 UTC,10,Heatwave set to peak with 34C temperatures possible,https://www.bbc.co.uk/news/articles/c5y2jd5yye9o
2025-07-12 09:10:59 UTC,1,"Fuel switches cut off before Air India crash that killed 260, preliminary report says",https://www.bbc.co.uk/news/live/cx20p2x9093t
2025-07-12 09:10:59 UTC,2,Why cockpit audio deepens the mystery of Air India crash,https://www.bbc.co.uk/news/articles/cx2gy78gpnqo
2025-07-12 09:10:59 UTC,3,UK heatwave temperatures expected to peak as millions face hosepipe bans,https://www.bbc.co.uk/news/live/cvg8v98n1vgt
2025-07-12 09:10:59 UTC,4,BBC faces dilemma over new series of MasterChef,https://www.bbc.co.uk/news/articles/cm2mx9x5yrno
2025-07-12 09:10:59 UTC,5,Men charged after women die following care home crash,https://www.bbc.co.uk/news/articles/cql0gl9e1pwo
2025-07-12 09:10:59 UTC,6,'They were just kids': Mother mourns sons killed in Israeli strike while waiting for aid,https://www.bbc.co.uk/news/articles/cy9xgrrq54go
2025-07-12 09:10:59 UTC,7,Faisal Islam: We are heading for significant tax rises,https://www.bbc.co.uk/news/articles/c9dgn647nplo
2025-07-12 09:10:59 UTC,8,"Fuel switches cut off before Air India crash that killed 260, preliminary report says",https://www.bbc.co.uk/news/live/cx20p2x9093t
2025-07-12 09:10:59 UTC,9,Why cockpit audio deepens the mystery of Air India crash,https://www.bbc.co.uk/news/articles/cx2gy78gpnqo
2025-07-12 09:10:59 UTC,10,UK heatwave temperatures expected to peak as millions face hosepipe bans,https://www.bbc.co.uk/news/live/cvg8v98n1vgt
2025-07-12 10:10:51 UTC,1,"Fuel switches cut off before Air India crash, report says, as families ask if it was avoidable",https://www.bbc.co.uk/news/live/cx20p2x9093t
2025-07-12 10:10:51 UTC,2,Why cockpit audio deepens the mystery of Air India crash,https://www.bbc.co.uk/news/articles/cx2gy78gpnqo
2025-07-12 10:10:51 UTC,3,UK heatwave temperatures expected to peak as millions face hosepipe bans,https://www.bbc.co.uk/news/live/cvg8v98n1vgt
2025-07-12 10:10:51 UTC,4,BBC faces dilemma over new series of MasterChef,https://www.bbc.co.uk/news/articles/cm2mx9x5yrno
2025-07-12 10:10:51 UTC,5,Men charged after women die following care home crash,https://www.bbc.co.uk/news/articles/cql0gl9e1pwo
2025-07-12 10:10:51 UTC,6,'They were just kids': Mother mourns sons killed in Israeli strike while waiting for aid,https://www.bbc.co.uk/news/articles/cy9xgrrq54go
2025-07-12 10:10:51 UTC,7,Faisal Islam: We are heading for significant tax rises,https://www.bbc.co.uk/news/articles/c9dgn647nplo
2025-07-12 10:10:51 UTC,8,"Fuel switches cut off before Air India crash, report says, as families ask if it was avoidable",https://www.bbc.co.uk/news/live/cx20p2x9093t
2025-07-12 10:10:51 UTC,9,Why cockpit audio deepens the mystery of Air India crash,https://www.bbc.co.uk/news/articles/cx2gy78gpnqo
2025-07-12 10:10:51 UTC,10,UK heatwave temperatures expected to peak as millions face hosepipe bans,https://www.bbc.co.uk/news/live/cvg8v98n1vgt
2025-07-12 11:09:15 UTC,1,"Fuel switches cut off before Air India crash, report says, as families ask if it was avoidable",https://www.bbc.co.uk/news/live/cx20p2x9093t
2025-07-12 11:09:15 UTC,2,Why cockpit audio deepens the mystery of Air India crash,https://www.bbc.co.uk/news/articles/cx2gy78gpnqo
2025-07-12 11:09:15 UTC,3,UK heatwave temperatures expected to peak as millions face hosepipe bans,https://www.bbc.co.uk/news/live/cvg8v98n1vgt
2025-07-12 11:09:15 UTC,4,BBC faces dilemma over new series of MasterChef,https://www.bbc.co.uk/news/articles/cm2mx9x5yrno
2025-07-12 11:09:15 UTC,5,Men charged after women die following care home crash,https://www.bbc.co.uk/news/articles/cql0gl9e1pwo
