timestamp,position,title,link
2025-08-04 01:04:22 UTC,1,Victims of mis-sold car finance could get less than Â£950 per deal,https://www.bbc.co.uk/news/articles/cgjy29zql25o
2025-08-04 01:04:22 UTC,2,Leaders condemn videos of emaciated hostages as Red Cross calls for access,https://www.bbc.co.uk/news/articles/crr2dwn7q40o
2025-08-04 01:04:22 UTC,3,"Hackers, secret cables and security fears: The explosive fight over the UK's new Chinese embassy",https://www.bbc.co.uk/news/articles/c3v3rygdrryo
2025-08-04 01:04:22 UTC,4,Man dies after fall at Oasis Wembley concert,https://www.bbc.co.uk/news/articles/cwy3j93xekmo
2025-08-04 01:04:22 UTC,5,Amber warning issued ahead of Storm Floris,https://www.bbc.co.uk/news/articles/c4gq3n049jno
2025-08-04 01:04:22 UTC,6,"BBC finds electrocuted, drowned and starved cats in online torture groups",https://www.bbc.co.uk/news/articles/c5yp9w5kyw7o
2025-08-04 01:04:22 UTC,7,England set up tense finale in astonishing final Test,https://www.bbc.co.uk/sport/cricket/articles/cn92vgq2x9xo
2025-08-04 01:04:22 UTC,8,"Ukraine drone attack causes fire at Sochi oil depot, Russia says",https://www.bbc.co.uk/news/articles/ckglyv396ppo
2025-08-04 01:04:22 UTC,9,'I'm in control of my sexual health' - UK gonorrhoea vaccine rollout begins,https://www.bbc.co.uk/news/articles/cgkrx6dnkkeo
2025-08-04 01:04:22 UTC,10,Government plans to bring more Gazan children to UK for treatment,https://www.bbc.co.uk/news/articles/cr4e641p41po
2025-08-04 03:48:33 UTC,1,Victims of mis-sold car finance could get less than Â£950 per deal,https://www.bbc.co.uk/news/articles/cgjy29zql25o
2025-08-04 03:48:33 UTC,2,Leaders condemn videos of emaciated hostages as Red Cross calls for access,https://www.bbc.co.uk/news/articles/crr2dwn7q40o
2025-08-04 03:48:33 UTC,3,Weather warnings as Storm Floris to disrupt travel,https://www.bbc.co.uk/news/articles/c4gq3n049jno
2025-08-04 03:48:33 UTC,4,"Hackers, secret cables and security fears: The explosive fight over the UK's new Chinese embassy",https://www.bbc.co.uk/news/articles/c3v3rygdrryo
2025-08-04 03:48:33 UTC,5,Man dies after fall at Oasis Wembley concert,https://www.bbc.co.uk/news/articles/cwy3j93xekmo
2025-08-04 03:48:33 UTC,6,Government pledges extra Â£100m to tackle people smuggling,https://www.bbc.co.uk/news/articles/c99mnnj22ygo
2025-08-04 03:48:33 UTC,7,"BBC finds electrocuted, drowned and starved cats in online torture groups",https://www.bbc.co.uk/news/articles/c5yp9w5kyw7o
2025-08-04 03:48:33 UTC,8,England set up tense finale in astonishing final Test,https://www.bbc.co.uk/sport/cricket/articles/cn92vgq2x9xo
2025-08-04 03:48:33 UTC,9,'I'm in control of my sexual health' - UK gonorrhoea vaccine rollout begins,https://www.bbc.co.uk/news/articles/cgkrx6dnkkeo
2025-08-04 03:48:33 UTC,10,Government plans to bring more Gazan children to UK for treatment,https://www.bbc.co.uk/news/articles/cr4e641p41po
2025-08-04 04:49:24 UTC,1,Storm Floris expected to bring strong winds and disrupt travel,https://www.bbc.co.uk/news/articles/c4gq3n049jno
2025-08-04 04:49:24 UTC,2,"Hackers, secret cables and security fears: The explosive fight over the UK's new Chinese embassy",https://www.bbc.co.uk/news/articles/c3v3rygdrryo
2025-08-04 04:49:24 UTC,3,Leaders condemn videos of emaciated hostages as Red Cross calls for access,https://www.bbc.co.uk/news/articles/crr2dwn7q40o
2025-08-04 04:49:24 UTC,4,Victims of mis-sold car finance could get less than Â£950 per deal,https://www.bbc.co.uk/news/articles/cgjy29zql25o
2025-08-04 04:49:24 UTC,5,Man dies after fall at Oasis Wembley concert,https://www.bbc.co.uk/news/articles/cwy3j93xekmo
2025-08-04 04:49:24 UTC,6,"BBC finds electrocuted, drowned and starved cats in online torture groups",https://www.bbc.co.uk/news/articles/c5yp9w5kyw7o
2025-08-04 04:49:24 UTC,7,England set up tense finale in astonishing final Test,https://www.bbc.co.uk/sport/cricket/articles/cn92vgq2x9xo
2025-08-04 04:49:24 UTC,8,Government pledges extra Â£100m to tackle people smuggling,https://www.bbc.co.uk/news/articles/c99mnnj22ygo
2025-08-04 04:49:24 UTC,9,"Chinese university students told to spy on classmates, report says",https://www.bbc.co.uk/news/articles/cyvn308789go
2025-08-04 04:49:24 UTC,10,'I'm in control of my sexual health' - UK gonorrhoea vaccine rollout begins,https://www.bbc.co.uk/news/articles/cgkrx6dnkkeo
2025-08-04 05:30:22 UTC,1,Storm Floris expected to bring strong winds and disrupt travel,https://www.bbc.co.uk/news/articles/c4gq3n049jno
2025-08-04 05:30:22 UTC,2,"Hackers, secret cables and security fears: The explosive fight over the UK's new Chinese embassy",https://www.bbc.co.uk/news/articles/c3v3rygdrryo
2025-08-04 05:30:22 UTC,3,Leaders condemn videos of emaciated hostages as Red Cross calls for access,https://www.bbc.co.uk/news/articles/crr2dwn7q40o
2025-08-04 05:30:22 UTC,4,"I regret taking my son to a riot following Southport attack, says stepmother",https://www.bbc.co.uk/news/articles/c201e9qq9g6o
2025-08-04 05:30:22 UTC,5,Victims of mis-sold car finance could get less than Â£950 per deal,https://www.bbc.co.uk/news/articles/cgjy29zql25o
2025-08-04 05:30:22 UTC,6,Man dies after fall at Oasis Wembley concert,https://www.bbc.co.uk/news/articles/cwy3j93xekmo
2025-08-04 05:30:22 UTC,7,"BBC finds electrocuted, drowned and starved cats in online torture groups",https://www.bbc.co.uk/news/articles/c5yp9w5kyw7o
2025-08-04 05:30:22 UTC,8,England set up tense finale in astonishing final Test,https://www.bbc.co.uk/sport/cricket/articles/cn92vgq2x9xo
2025-08-04 05:30:22 UTC,9,Government pledges extra Â£100m to tackle people smuggling,https://www.bbc.co.uk/news/articles/c99mnnj22ygo
2025-08-04 05:30:22 UTC,10,"Chinese university students told to spy on classmates, report says",https://www.bbc.co.uk/news/articles/cyvn308789go
2025-08-04 06:24:07 UTC,1,Storm Floris bringing 'unseasonably strong' winds to parts of the UK,https://www.bbc.co.uk/news/live/c9vdm9v4349t
2025-08-04 06:24:07 UTC,2,Government pledges extra Â£100m to tackle people smuggling,https://www.bbc.co.uk/news/articles/c99mnnj22ygo
2025-08-04 06:24:07 UTC,3,"I regret taking my 11-year-old to a riot following Southport attack, says stepmum",https://www.bbc.co.uk/news/articles/c201e9qq9g6o
2025-08-04 06:24:07 UTC,4,"Hackers, secret cables and security fears: The explosive fight over the UK's new Chinese embassy",https://www.bbc.co.uk/news/articles/c3v3rygdrryo
2025-08-04 06:24:07 UTC,5,Leaders condemn videos of emaciated hostages as Red Cross calls for access,https://www.bbc.co.uk/news/articles/crr2dwn7q40o
2025-08-04 06:24:07 UTC,6,"BBC finds electrocuted, drowned and starved cats in online torture groups",https://www.bbc.co.uk/news/articles/c5yp9w5kyw7o
